document_id,sentence_id,start_token_id,end_token_id,split,ner_score,calibrated_score
EXP-1908-01-21-a-i0053,0,0,0,test,0.009383131749927998,0.007805331610143185
EXP-1908-01-21-a-i0053,0,1,2,test,0.12339814752340317,0.37413686513900757
EXP-1908-01-21-a-i0053,0,3,3,test,0.8969339728355408,0.3125687539577484
EXP-1908-01-21-a-i0053,0,4,4,test,4.087851721124025e-06,0.0009387705358676612
EXP-1908-01-21-a-i0053,0,5,5,test,0.9855344295501709,0.7161505222320557
EXP-1908-01-21-a-i0053,0,6,8,test,0.0007020863704383373,0.0023068804293870926
EXP-1908-01-21-a-i0053,0,9,9,test,1.6973350511761964e-06,0.0004506715922616422
EXP-1908-01-21-a-i0053,0,10,10,test,9.833139529291657e-07,0.00045100782881490886
EXP-1908-01-21-a-i0053,0,11,13,test,0.9440727829933167,0.16061361134052277
EXP-1908-01-21-a-i0053,0,14,14,test,8.833255378704052e-06,0.00010321259469492361
EXP-1908-01-21-a-i0053,0,15,15,test,2.7488003979669884e-06,0.0005919371033087373
EXP-1908-01-21-a-i0053,0,16,16,test,7.758912033750676e-06,0.0002156450937036425
EXP-1908-01-21-a-i0053,0,17,17,test,0.0007396289147436619,6.442389712901786e-05
EXP-1908-01-21-a-i0053,0,18,18,test,0.09351303428411484,0.0003373508807271719
EXP-1908-01-21-a-i0053,0,19,19,test,0.00028398921131156385,8.875137609720696e-06
EXP-1908-01-21-a-i0053,0,20,20,test,2.8282262064749375e-05,0.006441266741603613
EXP-1908-01-21-a-i0053,0,21,21,test,6.761270014976617e-06,0.00017363185179419816
EXP-1908-01-21-a-i0053,0,22,24,test,0.9672032594680786,0.3077801465988159
EXP-1908-01-21-a-i0053,0,25,25,test,7.150441092562687e-07,1.133143655351887e-06
EXP-1908-01-21-a-i0053,0,26,27,test,0.2752598524093628,0.0007464350201189518
EXP-1908-01-21-a-i0053,0,28,28,test,4.907677976007108e-06,4.124607130506774e-06
EXP-1908-01-21-a-i0053,0,29,29,test,1.4050639038032386e-05,0.0011272055562585592
EXP-1908-01-21-a-i0053,0,30,30,test,0.7774028778076172,0.3256305456161499
EXP-1908-01-21-a-i0053,0,31,31,test,6.902708946654457e-07,2.530563563141186e-07
EXP-1908-01-21-a-i0053,0,32,32,test,1.480395167163806e-05,0.0004466062528081238
EXP-1908-01-21-a-i0053,0,33,34,test,0.0016252920031547546,6.626747199334204e-05
EXP-1908-01-21-a-i0053,0,35,35,test,5.055117640040407e-07,1.0059760825242847e-05
EXP-1908-01-21-a-i0053,0,36,36,test,6.527812729473226e-06,0.00038238082197494805
EXP-1908-01-21-a-i0053,0,37,37,test,0.8465105295181274,0.005113629624247551
EXP-1908-01-21-a-i0053,0,39,39,test,3.405928282518289e-06,0.00011170240031788126
EXP-1908-01-21-a-i0053,0,40,40,test,5.060549028712558e-07,1.0744089195213746e-05
EXP-1908-01-21-a-i0053,0,41,42,test,3.0920384688215563e-06,0.00026318387244828045
EXP-1908-01-21-a-i0053,0,43,43,test,2.3602124201715924e-06,7.184971036622301e-05
EXP-1908-01-21-a-i0053,0,44,44,test,0.9272778630256653,0.5759594440460205
EXP-1908-01-21-a-i0053,0,45,45,test,4.812442710999676e-08,2.6556774628261337e-06
EXP-1908-01-21-a-i0053,0,46,48,test,2.513137133064447e-06,4.907008133159252e-06
EXP-1908-01-21-a-i0053,0,49,49,test,1.2726383147310116e-06,0.0012794074136763811
EXP-1908-01-21-a-i0053,0,50,51,test,2.1818493678438244e-06,0.006781254895031452
EXP-1908-01-21-a-i0053,0,52,53,test,0.9868218302726746,0.1468832641839981
EXP-1908-01-21-a-i0053,0,54,54,test,4.356464614829747e-06,3.5942314298154088e-06
EXP-1908-01-21-a-i0053,0,55,59,test,0.8544062376022339,0.0007817664300091565
EXP-1908-01-21-a-i0053,0,60,60,test,7.811969226168003e-06,0.0008184918551705778
EXP-1908-01-21-a-i0053,0,61,61,test,1.799654091882985e-05,0.03420482203364372
EXP-1908-01-21-a-i0053,0,62,63,test,0.38464298844337463,0.7629255056381226
EXP-1908-01-21-a-i0053,1,64,64,test,0.0,0.03506658226251602
EXP-1908-01-21-a-i0053,2,65,65,test,0.0007905146921984851,0.019694620743393898
EXP-1908-01-21-a-i0053,2,66,66,test,1.6452564523206092e-05,4.6339417167473584e-05
EXP-1908-01-21-a-i0053,2,67,67,test,0.0022052640561014414,0.00029290805105119944
EXP-1908-01-21-a-i0053,2,68,68,test,0.9752264022827148,0.28021228313446045
EXP-1908-01-21-a-i0053,2,69,69,test,1.740020479701343e-06,0.12037529796361923
EXP-1908-01-21-a-i0053,2,70,70,test,2.346650217077695e-05,0.04938548803329468
EXP-1908-01-21-a-i0053,2,71,71,test,0.9898248314857483,0.914705753326416
EXP-1908-01-21-a-i0053,2,73,73,test,1.3413411579676904e-05,0.006706718355417252
EXP-1908-01-21-a-i0053,2,74,76,test,0.01616937853395939,0.052870750427246094
EXP-1908-01-21-a-i0053,2,77,77,test,3.5865511449628684e-07,0.021009400486946106
EXP-1908-01-21-a-i0053,3,78,78,test,1.2082227840437554e-05,0.00013071320427116007
EXP-1908-01-21-a-i0053,3,79,79,test,2.7088487968285335e-06,0.0012659583007916808
EXP-1908-01-21-a-i0053,3,80,80,test,0.004826381336897612,9.902791498461738e-05
EXP-1908-01-21-a-i0053,3,81,81,test,3.064674558572733e-08,0.0008120601414702833
EXP-1908-01-21-a-i0053,3,82,84,test,0.9872896075248718,0.9865871071815491
EXP-1908-01-21-a-i0053,3,85,85,test,0.0003519777674227953,4.479703784454614e-05
EXP-1908-01-21-a-i0053,3,86,86,test,2.9256713874532586e-16,0.004424133338034153
EXP-1908-01-21-a-i0053,4,87,87,test,0.0013141499366611242,0.0001691849174676463
EXP-1908-01-21-a-i0053,4,88,88,test,0.7747453451156616,0.5289238095283508
EXP-1908-01-21-a-i0053,4,89,89,test,1.820445504563395e-05,9.317128387920093e-06
EXP-1908-01-21-a-i0053,4,90,90,test,1.0067678886116482e-05,4.037561211589491e-06
EXP-1908-01-21-a-i0053,4,91,91,test,0.02324259653687477,1.6181731552933343e-05
EXP-1908-01-21-a-i0053,4,92,92,test,4.638168888959626e-07,0.00018207679386250675
EXP-1908-01-21-a-i0053,4,93,93,test,2.8803286113543436e-05,0.0012649736599996686
EXP-1908-01-21-a-i0053,4,94,94,test,0.9511421918869019,0.02990741841495037
EXP-1908-01-21-a-i0053,4,96,96,test,6.194596608111169e-06,1.7055574062396772e-05
EXP-1908-01-21-a-i0053,4,97,97,test,0.00033326001721434295,3.4098052310582716e-06
EXP-1908-01-21-a-i0053,4,98,98,test,4.349847131379647e-06,6.745870905433549e-06
EXP-1908-01-21-a-i0053,4,99,99,test,7.158520531902468e-08,1.0528950042498764e-05
EXP-1908-01-21-a-i0053,4,100,101,test,0.0002594153629615903,2.190390887335525e-06
EXP-1908-01-21-a-i0053,4,102,102,test,0.006528895348310471,1.1135150089103263e-05
EXP-1908-01-21-a-i0053,4,103,103,test,1.4139768609311432e-06,1.2145326763857156e-05
EXP-1908-01-21-a-i0053,4,104,104,test,1.7256236333196284e-06,1.3061043091511237e-07
EXP-1908-01-21-a-i0053,4,105,105,test,0.0036309477873146534,9.720993148221169e-06
EXP-1908-01-21-a-i0053,4,106,106,test,1.411381072102813e-05,6.745039718225598e-05
EXP-1908-01-21-a-i0053,4,107,109,test,0.9951110482215881,0.9893277287483215
EXP-1908-01-21-a-i0053,4,110,110,test,1.1107542377430946e-05,7.113496394595131e-05
EXP-1908-01-21-a-i0053,5,111,112,test,9.366797166876495e-05,0.0006504900520667434
EXP-1908-01-21-a-i0053,5,113,113,test,8.101395998494354e-09,0.0034140245988965034
EXP-1908-01-21-a-i0053,5,114,114,test,0.0002452761691529304,0.0004160391690675169
EXP-1908-01-21-a-i0053,5,115,116,test,1.0927840321528492e-06,9.297067299485207e-05
EXP-1908-01-21-a-i0053,5,117,117,test,2.3966485969140194e-06,0.00019762547162827104
EXP-1908-01-21-a-i0053,5,118,118,test,8.068735724009457e-07,0.0008112743380479515
EXP-1908-01-21-a-i0053,5,119,120,test,0.44589224457740784,0.011353912763297558
EXP-1908-01-21-a-i0053,5,121,121,test,6.898937954247231e-07,0.0006353268981911242
EXP-1908-01-21-a-i0053,5,122,122,test,0.00015618922770954669,1.59501978487242e-05
EXP-1908-01-21-a-i0053,5,123,123,test,5.451252036436927e-07,0.00915210135281086
EXP-1908-01-21-a-i0053,5,124,124,test,0.9168024063110352,0.688992440700531
EXP-1908-01-21-a-i0053,5,125,125,test,2.2961274808580567e-12,3.017618837475311e-05
EXP-1908-01-21-a-i0053,6,126,126,test,1.1111187632195652e-05,0.00026121773407794535
EXP-1908-01-21-a-i0053,6,127,127,test,5.588198632722197e-07,3.64189070012344e-08
EXP-1908-01-21-a-i0053,6,128,128,test,1.3586971363110933e-05,5.1973722293041646e-05
EXP-1908-01-21-a-i0053,6,129,129,test,0.9951297044754028,0.9827389121055603
EXP-1908-01-21-a-i0053,6,130,130,test,1.640053994833579e-07,3.851658675557701e-06
EXP-1908-01-21-a-i0053,6,131,131,test,9.453191864849941e-07,7.570805337309139e-06
EXP-1908-01-21-a-i0053,6,132,132,test,3.571859997464344e-05,4.0005261325859465e-07
EXP-1908-01-21-a-i0053,6,133,133,test,9.1901415544271e-07,1.6927031538216397e-05
EXP-1908-01-21-a-i0053,6,134,134,test,1.7477837900514714e-05,0.00018313908367417753
EXP-1908-01-21-a-i0053,6,135,137,test,0.008129183202981949,0.012779824435710907
EXP-1908-01-21-a-i0053,6,138,138,test,8.72275336405437e-07,0.0009889759821817279
EXP-1908-01-21-a-i0053,6,139,139,test,2.8566621494974243e-06,0.0014433092437684536
