document_id,sentence_id,start_token_id,end_token_id,split,ner_score,calibrated_score
EXP-1908-01-21-a-i0053,0,0,0,test,0.009383131749927998,0.028051240369677544
EXP-1908-01-21-a-i0053,0,1,2,test,0.12339814752340317,0.8619844913482666
EXP-1908-01-21-a-i0053,0,3,3,test,0.8969339728355408,0.8586061596870422
EXP-1908-01-21-a-i0053,0,4,4,test,4.087851721124025e-06,0.0003423141606617719
EXP-1908-01-21-a-i0053,0,5,5,test,0.9855344295501709,0.9371880292892456
EXP-1908-01-21-a-i0053,0,6,8,test,0.0007020863704383373,1.1778003681683913e-05
EXP-1908-01-21-a-i0053,0,9,9,test,1.6973350511761964e-06,5.0416114390827715e-05
EXP-1908-01-21-a-i0053,0,10,10,test,9.833139529291657e-07,4.091189839527942e-05
EXP-1908-01-21-a-i0053,0,11,13,test,0.9440727829933167,0.1399153620004654
EXP-1908-01-21-a-i0053,0,14,14,test,8.833255378704052e-06,4.184249337413348e-05
EXP-1908-01-21-a-i0053,0,15,15,test,2.7488003979669884e-06,0.00017721594485919923
EXP-1908-01-21-a-i0053,0,16,16,test,7.758912033750676e-06,0.016280369833111763
EXP-1908-01-21-a-i0053,0,17,17,test,0.0007396289147436619,7.425000512739643e-05
EXP-1908-01-21-a-i0053,0,18,18,test,0.09351303428411484,2.6285950298188254e-05
EXP-1908-01-21-a-i0053,0,19,19,test,0.00028398921131156385,4.3779951397482364e-07
EXP-1908-01-21-a-i0053,0,20,20,test,2.8282262064749375e-05,0.0014911380130797625
EXP-1908-01-21-a-i0053,0,21,21,test,6.761270014976617e-06,5.359359784051776e-05
EXP-1908-01-21-a-i0053,0,22,24,test,0.9672032594680786,0.46190521121025085
EXP-1908-01-21-a-i0053,0,25,25,test,7.150441092562687e-07,8.034663187572733e-05
EXP-1908-01-21-a-i0053,0,26,27,test,0.2752598524093628,1.5924139233902679e-06
EXP-1908-01-21-a-i0053,0,28,28,test,4.907677976007108e-06,5.438533116830513e-05
EXP-1908-01-21-a-i0053,0,29,29,test,1.4050639038032386e-05,0.002009269082918763
EXP-1908-01-21-a-i0053,0,30,30,test,0.7774028778076172,0.9124811291694641
EXP-1908-01-21-a-i0053,0,31,31,test,6.902708946654457e-07,1.5604869076923933e-06
EXP-1908-01-21-a-i0053,0,32,32,test,1.480395167163806e-05,7.979093788890168e-05
EXP-1908-01-21-a-i0053,0,33,34,test,0.0016252920031547546,2.107035243170685e-06
EXP-1908-01-21-a-i0053,0,35,35,test,5.055117640040407e-07,3.152419765228842e-07
EXP-1908-01-21-a-i0053,0,36,36,test,6.527812729473226e-06,0.00020507024601101875
EXP-1908-01-21-a-i0053,0,37,37,test,0.8465105295181274,0.00022587890271097422
EXP-1908-01-21-a-i0053,0,39,39,test,3.405928282518289e-06,3.2314181908077444e-07
EXP-1908-01-21-a-i0053,0,40,40,test,5.060549028712558e-07,8.712086696505139e-07
EXP-1908-01-21-a-i0053,0,41,42,test,3.0920384688215563e-06,5.178555966267595e-07
EXP-1908-01-21-a-i0053,0,43,43,test,2.3602124201715924e-06,0.005428770557045937
EXP-1908-01-21-a-i0053,0,44,44,test,0.9272778630256653,0.9319552183151245
