document_id,sentence_id,start_token_id,end_token_id,split,ner_score,calibrated_score,alpha_0,alpha_1,alpha_2,alpha_3
EXP-1908-01-21-a-i0053,0,0,0,test,0.009383131749927998,0.02581690065562725,0.1318703591823578,0.24084098637104034,0.2153826653957367,0.41190603375434875
EXP-1908-01-21-a-i0053,0,1,2,test,0.12339814752340317,0.9568682909011841,0.05268128588795662,0.8043627142906189,0.024093961343169212,0.11886202543973923
EXP-1908-01-21-a-i0053,0,3,3,test,0.8969339728355408,0.9548162817955017,0.02563258446753025,0.8666340112686157,0.017119454219937325,0.09061387181282043
EXP-1908-01-21-a-i0053,0,4,4,test,4.087851721124025e-06,0.052986081689596176,0.17224006354808807,0.3266119360923767,0.20422004163265228,0.29692795872688293
EXP-1908-01-21-a-i0053,0,5,5,test,0.9855344295501709,0.992511510848999,0.009191383607685566,0.9363746643066406,0.006313642952591181,0.04812038317322731
EXP-1908-01-21-a-i0053,0,6,8,test,0.0007020863704383373,3.246731648687273e-05,0.14764679968357086,0.5195765495300293,0.09060214459896088,0.24217456579208374
EXP-1908-01-21-a-i0053,0,9,9,test,1.6973350511761964e-06,7.340992851823103e-06,0.22085878252983093,0.2465536743402481,0.20991143584251404,0.3226760923862457
EXP-1908-01-21-a-i0053,0,10,10,test,9.833139529291657e-07,0.0004152286855969578,0.1720425933599472,0.22605377435684204,0.2387596219778061,0.3631439805030823
EXP-1908-01-21-a-i0053,0,11,13,test,0.9440727829933167,0.2353474497795105,0.04381616786122322,0.7506868243217468,0.033905912190675735,0.17159108817577362
EXP-1908-01-21-a-i0053,0,14,14,test,8.833255378704052e-06,6.05581772106234e-05,0.23924285173416138,0.2795444130897522,0.22325275838375092,0.2579599618911743
EXP-1908-01-21-a-i0053,0,15,15,test,2.7488003979669884e-06,1.8032004334145313e-08,0.39123547077178955,0.44367003440856934,0.0644959807395935,0.10059849172830582
EXP-1908-01-21-a-i0053,0,16,16,test,7.758912033750676e-06,1.4872360054596356e-07,0.361107736825943,0.31375086307525635,0.1459558755159378,0.17918558418750763
EXP-1908-01-21-a-i0053,0,17,17,test,0.0007396289147436619,2.411075229247217e-06,0.31936120986938477,0.3072901964187622,0.12496010959148407,0.24838851392269135
EXP-1908-01-21-a-i0053,0,18,18,test,0.09351303428411484,1.3314360330696218e-05,0.22590689361095428,0.21278326213359833,0.20197170972824097,0.3593381345272064
EXP-1908-01-21-a-i0053,0,19,19,test,0.00028398921131156385,3.70787747669965e-05,0.20374809205532074,0.11629775911569595,0.3137461543083191,0.36620792746543884
EXP-1908-01-21-a-i0053,0,20,20,test,2.8282262064749375e-05,4.698687553172931e-05,0.410788893699646,0.0761759951710701,0.37871864438056946,0.13431651890277863
